health_score,failure_probability,rul_days,repair_cost,failure_cost,potential_savings,priority
51,92,15,24575,111395,86820,Immediate
82,86,75,24962,79093,54131,Immediate
23,2,22,3769,73504,69735,Immediate
29,37,2,8311,101415,93104,Immediate
75,57,22,9396,45054,35658,Medium
41,91,60,3189,97843,94654,Immediate
61,50,108,4267,45818,41551,Medium
2,100,51,11838,101876,90038,Immediate
17,3,89,13555,97524,83969,Immediate
8,89,53,24870,58353,33483,Immediate
70,43,8,15206,105283,90077,High
80,35,50,6943,106418,99475,Low
1,5,54,16417,79412,62995,Immediate
53,92,63,9873,91084,81211,Immediate
33,73,62,3995,46601,42606,High
47,14,72,10629,21645,11016,High
61,39,85,11529,104327,92798,Medium
52,23,26,24243,73342,49099,Medium
40,28,15,19448,78432,58984,High
70,8,88,5027,17722,12695,Low
87,62,11,9736,52895,43159,High
34,34,33,15666,64326,48660,High
40,27,7,11392,51927,40535,High
11,33,33,5454,92827,87373,Immediate
87,36,99,22115,95450,73335,Medium
85,90,35,8056,26166,18110,Immediate
77,2,1,20412,37322,16910,Immediate
13,26,9,3206,100260,97054,Immediate
89,41,77,18934,78949,60015,Medium
51,95,4,21141,111497,90356,Immediate
22,14,43,24020,67847,43827,Immediate
12,31,71,12914,45213,32299,Immediate
65,41,45,12789,71869,59080,Medium
5,27,28,16931,96094,79163,Immediate
83,29,62,24834,52881,28047,Low
91,88,103,4306,75679,71373,Immediate
76,2,103,24959,40489,15530,Low
8,61,37,16545,92744,76199,Immediate
78,58,118,20879,99719,78840,Medium
51,61,113,9585,81588,72003,High
11,38,2,4636,100252,95616,Immediate
55,80,59,7737,18591,10854,High
100,95,97,16949,114041,97092,Immediate
43,89,32,24919,98653,73734,Immediate
67,54,75,14447,37135,22688,Medium
37,23,69,22315,98048,75733,High
85,10,112,12339,108541,96202,Low
69,79,93,20043,32854,12811,High
58,35,19,4986,26397,21411,High
95,70,52,11680,106576,94896,High
39,38,82,14111,61615,47504,High
10,91,57,9616,66870,57254,Immediate
30,93,42,19646,76489,56843,Immediate
15,89,112,12208,38579,26371,Immediate
59,1,1,8423,39355,30932,Immediate
36,31,119,13248,30648,17400,High
98,18,48,21639,98329,76690,Low
19,23,54,15183,54482,39299,Immediate
74,71,36,12637,75988,63351,High
83,98,112,5557,53917,48360,Immediate
98,24,93,5961,62936,56975,Low
81,65,54,20340,68807,48467,High
32,13,21,24295,38282,13987,High
7,6,67,23880,104151,80271,Immediate
32,47,76,12146,62964,50818,High
85,21,110,21077,110986,89909,Low
50,53,8,22738,63484,40746,High
97,20,30,10022,25622,15600,Medium
68,60,48,15946,82781,66835,Medium
34,63,49,10679,94423,83744,High
43,91,30,13716,106705,92989,Immediate
5,98,105,4060,32771,28711,Immediate
92,45,53,19990,96225,76235,Medium
96,62,85,5975,22077,16102,High
32,66,18,4816,47561,42745,High
94,53,58,8442,70327,61885,Medium
23,31,47,14093,42163,28070,Immediate
65,26,106,4409,59426,55017,Medium
16,32,9,15533,80281,64748,Immediate
41,25,99,21225,60817,39592,High
23,12,60,22334,122246,99912,Immediate
35,44,20,5368,92943,87575,High
15,13,76,16403,58500,42097,Immediate
65,31,87,3853,66774,62921,Medium
62,61,22,12907,93220,80313,High
69,14,54,18338,96365,78027,Medium
100,96,8,22508,35559,13051,Immediate
4,67,6,3876,72211,68335,Immediate
93,46,99,9966,92581,82615,Medium
51,15,13,7465,34484,27019,High
29,18,17,11311,104061,92750,Immediate
18,91,58,17262,53207,35945,Immediate
100,89,117,8949,70939,61990,Immediate
8,11,117,21048,97665,76617,Immediate
0,33,96,10805,26042,15237,Immediate
47,88,104,19244,32587,13343,Immediate
60,63,63,19964,89602,69638,High
66,75,26,4679,83721,79042,High
100,85,57,12435,76775,64340,High
46,93,110,16245,86648,70403,Immediate
68,75,16,13457,58704,45247,High
84,38,100,7452,44098,36646,Medium
9,68,100,5849,56007,50158,Immediate
9,18,58,12823,82983,70160,Immediate
68,3,16,22223,89902,67679,High
1,91,32,3851,31922,28071,Immediate
11,49,35,5427,19427,14000,Immediate
60,50,43,8387,56691,48304,Medium
39,73,43,23764,119791,96027,High
94,45,2,5082,42432,37350,Immediate
80,89,8,19281,44586,25305,Immediate
89,33,115,11808,42166,30358,Low
67,57,117,8745,44837,36092,Medium
74,28,36,3728,74420,70692,Medium
35,9,101,21888,67623,45735,High
63,98,49,20506,116505,95999,Immediate
35,81,113,5143,74174,69031,High
22,61,96,15043,61251,46208,Immediate
54,12,23,17552,96002,78450,Medium
29,16,113,17397,68952,51555,Immediate
88,85,13,3698,53652,49954,High
48,99,12,10400,44866,34466,Immediate
75,8,71,20101,82035,61934,Low
51,82,111,11335,108235,96900,High
68,98,12,14130,111638,97508,Immediate
99,52,23,4167,41359,37192,Medium
38,52,42,24689,45863,21174,High
13,94,5,8334,92794,84460,Immediate
74,17,111,9731,67867,58136,Low
73,57,108,10056,97108,87052,Medium
6,45,13,20575,69656,49081,Immediate
8,49,27,22065,115525,93460,Immediate
28,36,38,16807,69155,52348,Immediate
64,85,116,10494,57574,47080,High
44,3,36,6141,105480,99339,High
30,18,61,22307,59097,36790,High
90,73,90,18485,72967,54482,High
44,12,114,12435,26144,13709,High
57,19,92,16116,51586,35470,Medium
38,0,3,13188,103407,90219,Immediate
61,62,113,3823,96671,92848,High
37,5,58,6627,39327,32700,High
60,46,21,23559,95201,71642,Medium
100,35,99,16843,98569,81726,Low
48,13,15,22870,85606,62736,High
53,2,16,11662,46166,34504,High
74,11,74,13975,34998,21023,Low
71,75,24,3667,43370,39703,High
91,35,90,6719,101384,94665,Low
59,49,28,7964,22799,14835,Medium
63,26,118,10312,58400,48088,Medium
32,83,77,5779,98623,92844,High
12,45,35,22708,78153,55445,Immediate
81,68,47,13136,88681,75545,High
55,29,114,8124,19139,11015,Medium
32,64,18,11415,83707,72292,High
25,62,89,23309,40279,16970,Immediate
26,48,77,23384,51401,28017,Immediate
98,0,21,11175,69101,57926,Medium
5,91,81,12860,103502,90642,Immediate
52,22,101,6636,27552,20916,Medium
73,73,83,16456,82853,66397,High
72,0,51,24164,51264,27100,Low
3,61,65,7976,63519,55543,Immediate
31,33,92,17430,34669,17239,High
38,25,34,13357,73279,59922,High
49,11,65,20461,104424,83963,High
4,93,94,7858,60666,52808,Immediate
16,46,23,14470,25722,11252,Immediate
84,13,66,23914,93408,69494,Low
37,63,98,9949,75342,65393,High
81,29,79,13209,106460,93251,Low
37,96,88,12550,92723,80173,Immediate
50,80,5,7892,57703,49811,Immediate
9,55,17,24833,54796,29963,Immediate
83,87,69,10941,35329,24388,Immediate
65,76,107,15015,70017,55002,High
22,54,80,9238,25328,16090,Immediate
15,7,4,15647,66887,51240,Immediate
66,95,67,3666,83390,79724,Immediate
31,49,61,14314,48268,33954,High
20,4,82,15891,62559,46668,Immediate
21,20,70,9376,36283,26907,Immediate
89,45,34,13160,104978,91818,Medium
72,25,47,8240,61461,53221,Low
55,93,107,22262,85058,62796,Immediate
80,25,36,16568,85967,69399,Medium
98,51,79,3302,95860,92558,Medium
55,85,14,11150,88811,77661,High
87,1,109,9809,24430,14621,Low
58,55,115,8126,23248,15122,Medium
22,17,38,9882,54556,44674,Immediate
14,63,89,8750,29017,20267,Immediate
73,38,57,20680,36909,16229,Medium
89,43,25,9288,22884,13596,Medium
83,24,68,10561,94355,83794,Low
17,99,111,17369,40279,22910,Immediate
7,39,113,9738,101187,91449,Immediate
40,100,6,22123,86676,64553,Immediate
63,97,59,13167,99257,86090,Immediate
69,100,33,20844,58129,37285,Immediate
20,69,70,8622,90925,82303,Immediate
3,93,75,22901,109026,86125,Immediate
94,23,55,16046,50864,34818,Low
30,39,101,13787,32898,19111,High
94,5,66,11659,101238,89579,Low
74,3,79,11837,21954,10117,Low
93,50,62,8560,72001,63441,Medium
78,74,8,18385,74899,56514,High
44,43,5,9469,49574,40105,Immediate
67,18,84,19608,75195,55587,Medium
11,46,1,9233,97710,88477,Immediate
63,37,37,4917,35535,30618,Medium
99,76,107,17594,47722,30128,High
5,49,10,19644,117602,97958,Immediate
9,43,2,21444,36731,15287,Immediate
1,83,65,4342,77418,73076,Immediate
72,16,9,21378,111145,89767,High
37,34,94,12310,105834,93524,High
61,59,108,13161,90605,77444,Medium
74,8,34,22019,105717,83698,Medium
34,0,40,6391,60316,53925,High
59,63,93,11007,62839,51832,High
100,13,60,24204,49728,25524,Low
4,82,78,10577,41188,30611,Immediate
88,41,89,13535,82742,69207,Medium
38,13,32,14954,98294,83340,High
37,96,23,7670,36244,28574,Immediate
96,24,17,4248,25494,21246,High
65,77,53,6687,20705,14018,High
38,50,70,20586,55105,34519,High
41,63,116,18374,99698,81324,High
32,93,103,3922,65278,61356,Immediate
37,56,97,14260,88744,74484,High
26,54,33,8373,86152,77779,Immediate
85,65,10,7612,61484,53872,High
37,12,31,9371,91266,81895,High
51,55,15,6228,36331,30103,High
4,28,47,21755,35511,13756,Immediate
1,26,95,5674,55340,49666,Immediate
35,35,26,5116,86431,81315,High
10,73,104,13789,36788,22999,Immediate
22,46,90,13541,25984,12443,Immediate
89,12,104,14473,41841,27368,Low
96,59,43,22915,72830,49915,Medium
99,67,5,23260,33386,10126,Immediate
91,30,9,24493,120559,96066,High
28,77,40,6368,20165,13797,Immediate
10,22,1,14053,46169,32116,Immediate
20,89,110,17755,47011,29256,Immediate
0,62,54,7662,56944,49282,Immediate
39,14,21,14694,80958,66264,High
52,8,74,22891,72115,49224,Medium
25,40,35,19920,103429,83509,Immediate
1,6,82,11666,79427,67761,Immediate
90,16,43,12146,92653,80507,Low
50,53,24,15312,92838,77526,Medium
51,69,117,16472,63620,47148,High
62,21,26,13395,39636,26241,Medium
84,48,71,7944,64107,56163,Medium
48,19,118,24566,110018,85452,High
48,70,1,4759,56708,51949,Immediate
86,50,56,5079,17796,12717,Medium
28,48,45,12692,95539,82847,Immediate
39,18,18,3768,77845,74077,High
46,65,118,24467,72467,48000,High
93,37,51,24310,99465,75155,Medium
0,7,29,15342,66148,50806,Immediate
2,31,10,4481,90110,85629,Immediate
33,96,87,19438,55837,36399,Immediate
49,6,93,14271,100805,86534,High
66,87,87,13682,86912,73230,Immediate
71,53,111,6300,88558,82258,Medium
50,96,92,6054,95165,89111,Immediate
33,34,96,24591,66412,41821,High
31,45,107,15175,79946,64771,High
36,53,85,24389,100747,76358,High
47,81,7,7425,33457,26032,High
22,84,19,23079,69299,46220,Immediate
18,35,29,23561,42266,18705,Immediate
0,46,69,22978,48336,25358,Immediate
1,66,87,14382,38978,24596,Immediate
36,37,94,16192,88708,72516,High
43,98,116,14093,41864,27771,Immediate
23,80,74,18517,47580,29063,Immediate
58,86,96,22152,60681,38529,Immediate
80,13,9,5599,76373,70774,High
72,21,107,21925,87886,65961,Low
57,28,109,11996,103990,91994,Medium
69,17,85,8475,75859,67384,Medium
37,33,17,15875,27497,11622,High
85,84,27,10992,102174,91182,High
5,90,40,17060,74984,57924,Immediate
70,9,45,14664,60401,45737,Low
84,91,62,22065,68462,46397,Immediate
63,1,54,20770,91890,71120,Medium
50,52,36,24874,113491,88617,Medium
28,20,11,24799,124398,99599,Immediate
35,58,39,20717,59486,38769,High
54,23,118,24792,93921,69129,Medium
35,19,83,4762,46749,41987,High
80,61,109,9122,85139,76017,High
72,25,66,4524,29572,25048,Low
39,16,1,4240,14300,10060,Immediate
42,41,25,16350,50704,34354,High
2,100,108,11363,96549,85186,Immediate
93,97,12,21706,101332,79626,Immediate
48,60,17,19713,66121,46408,High
54,46,12,4341,58964,54623,High
87,82,8,15254,77114,61860,High
80,86,101,5421,73474,68053,Immediate
71,24,82,24771,112225,87454,Low
58,25,105,16849,54784,37935,Medium
9,15,71,11592,33774,22182,Immediate
25,84,86,19774,74587,54813,Immediate
78,6,9,14122,104681,90559,High
71,58,87,4500,21237,16737,Medium
94,93,116,22426,69691,47265,Immediate
58,16,14,12374,74749,62375,High
98,59,45,16409,108459,92050,Medium
36,42,40,23662,57172,33510,High
38,14,113,14779,79399,64620,High
85,24,13,18520,107793,89273,High
65,54,99,22625,98706,76081,Medium
29,12,13,18775,42694,23919,Immediate
98,38,46,19371,74455,55084,Medium
61,92,62,11436,83623,72187,Immediate
56,15,56,21155,89761,68606,Medium
9,29,25,6430,29106,22676,Immediate
64,93,49,5050,48983,43933,Immediate
29,67,18,17269,67869,50600,Immediate
47,64,53,17286,62686,45400,High
14,48,88,12155,65156,53001,Immediate
36,60,101,12130,59703,47573,High
38,55,63,11202,50959,39757,High
76,97,25,17899,90110,72211,Immediate
58,71,20,19220,110690,91470,High
53,73,107,20208,113064,92856,High
2,5,5,21180,104961,83781,Immediate
46,86,49,16832,103730,86898,Immediate
19,60,106,21850,57275,35425,Immediate
61,16,88,10906,82319,71413,Medium
12,88,73,7675,52376,44701,Immediate
100,97,11,21024,54898,33874,Immediate
91,28,9,20602,119403,98801,High
75,41,9,16774,69294,52520,High
4,10,59,18585,54144,35559,Immediate
78,37,72,24754,38726,13972,Medium
47,89,18,11228,31131,19903,Immediate
76,27,69,24452,80100,55648,Low
39,44,96,19701,32097,12396,High
57,66,56,14303,54864,40561,High
39,90,77,4312,100543,96231,Immediate
18,79,40,5139,80221,75082,Immediate
47,40,13,3362,65118,61756,High
88,52,42,23670,102944,79274,Medium
37,59,7,19106,78814,59708,High
57,30,23,15713,28432,12719,Medium
52,29,39,6998,35785,28787,Medium
1,77,77,3294,89007,85713,Immediate
95,12,46,12882,89554,76672,Low
16,94,98,15987,63298,47311,Immediate
87,34,112,8445,94687,86242,Low
29,70,74,24736,76943,52207,Immediate
97,62,28,3571,40231,36660,High
